id_mutation,date_mutation,annee,valeur_fonciere,surface_reelle_bati,type_local,code_commune,nom_commune,longitude,latitude,prix_m2
2021-591508,2021-01-07,2021,160000.0,55.0,Appartement,35238,Rennes,-1.656551,48.119053,2909.090909090909
2021-591509,2021-01-06,2021,225000.0,81.0,Appartement,35051,Cesson-Sévigné,-1.599096,48.121689,2777.777777777778
2021-591510,2021-01-07,2021,304000.0,96.0,Maison,35281,Saint-Jacques-de-la-Lande,-1.699642,48.091458,3166.6666666666665
2021-591511,2021-01-05,2021,133500.0,50.0,Appartement,35281,Saint-Jacques-de-la-Lande,-1.698865,48.088039,2670.0
2021-591512,2021-01-07,2021,159000.0,35.0,Appartement,35238,Rennes,-1.66122,48.098096,4542.857142857143
2021-591514,2021-01-05,2021,238000.0,88.0,Maison,35208,Orgères,-1.671675,47.996405,2704.5454545454545
2021-591515,2021-01-06,2021,133000.0,34.0,Appartement,35238,Rennes,-1.680574,48.099735,3911.764705882353
2021-591517,2021-01-12,2021,141000.0,64.0,Appartement,35238,Rennes,-1.671145,48.08392,2203.125
2021-591521,2021-01-06,2021,207000.0,86.0,Maison,35206,Noyal-Châtillon-sur-Seiche,-1.666164,48.034087,2406.9767441860463
2021-591522,2021-01-05,2021,95000.0,31.0,Appartement,35238,Rennes,-1.662179,48.109118,3064.516129032258
2021-591523,2021-01-04,2021,230000.0,284.0,Maison,35206,Noyal-Châtillon-sur-Seiche,-1.666735,48.035223,809.8591549295775
2021-591524,2021-01-11,2021,369000.0,79.0,Appartement,35238,Rennes,-1.674273,48.096316,4670.886075949367
2021-591525,2021-01-04,2021,159000.0,72.0,Appartement,35238,Rennes,-1.672639,48.085501,2208.3333333333335
2021-591529,2021-01-08,2021,365000.0,89.0,Appartement,35238,Rennes,-1.685554,48.109147,4101.123595505618
2021-591532,2021-01-08,2021,270000.0,280.0,Maison,35216,Parthenay-de-Bretagne,-1.816628,48.18556,964.2857142857143
2021-591533,2021-01-07,2021,133300.0,44.0,Appartement,35051,Cesson-Sévigné,-1.619021,48.113674,3029.5454545454545
2021-591535,2021-01-15,2021,236470.0,76.0,Appartement,35238,Rennes,-1.659088,48.131811,3111.4473684210525
2021-591537,2021-01-05,2021,129000.0,42.0,Appartement,35238,Rennes,,,3071.4285714285716
2021-591541,2021-01-18,2021,212000.0,284.0,Maison,35206,Noyal-Châtillon-sur-Seiche,-1.665962,48.034903,746.4788732394367
2021-591544,2021-01-15,2021,250000.0,62.0,Maison,35051,Cesson-Sévigné,-1.603356,48.103367,4032.2580645161293
2021-591545,2021-01-13,2021,237500.0,100.0,Maison,35206,Noyal-Châtillon-sur-Seiche,-1.666274,48.034217,2375.0
2021-591547,2021-01-12,2021,122000.0,44.0,Appartement,35238,Rennes,-1.697306,48.085291,2772.7272727272725
2021-591548,2021-01-15,2021,300000.0,104.0,Maison,35055,Chantepie,-1.615705,48.084863,2884.6153846153848
2021-591549,2021-01-15,2021,158000.0,91.0,Appartement,35238,Rennes,-1.666395,48.085937,1736.2637362637363
2021-591552,2021-01-06,2021,127850.0,30.0,Appartement,35238,Rennes,-1.682812,48.107922,4261.666666666667
2021-591553,2021-01-07,2021,150000.0,64.0,Appartement,35238,Rennes,-1.71391,48.1204,2343.75
2021-591555,2021-01-06,2021,84000.0,21.0,Appartement,35238,Rennes,-1.657932,48.11431,4000.0
2021-591557,2021-01-08,2021,350000.0,97.0,Appartement,35238,Rennes,-1.694211,48.112369,3608.2474226804125
2021-591558,2021-01-04,2021,292000.0,124.0,Maison,35059,La Chapelle-des-Fougeretz,-1.730052,48.177132,2354.8387096774195
2021-591559,2021-01-12,2021,190000.0,69.0,Appartement,35120,Gévezé,-1.800795,48.224606,2753.623188405797
2021-591561,2021-01-08,2021,238000.0,122.0,Maison,35059,La Chapelle-des-Fougeretz,-1.727334,48.183109,1950.8196721311476
2021-591562,2021-01-12,2021,144000.0,36.0,Appartement,35238,Rennes,-1.671849,48.107162,4000.0
2021-591564,2021-01-04,2021,166000.0,43.0,Appartement,35238,Rennes,-1.701147,48.133861,3860.4651162790697
2021-591568,2021-01-12,2021,500000.0,80.0,Maison,35238,Rennes,-1.664724,48.095601,6250.0
2021-591574,2021-01-19,2021,239700.0,54.0,Appartement,35238,Rennes,-1.669831,48.110516,4438.888888888889
2021-591575,2021-01-18,2021,173000.0,62.0,Appartement,35024,Betton,-1.651446,48.18465,2790.3225806451615
2021-591576,2021-01-15,2021,312000.0,116.0,Maison,35208,Orgères,-1.663416,47.993309,2689.655172413793
2021-591577,2021-01-06,2021,321935.0,63.0,Maison,35238,Rennes,-1.663425,48.129185,5110.079365079365
2021-591578,2021-01-08,2021,490000.0,129.0,Maison,35051,Cesson-Sévigné,-1.613311,48.122866,3798.4496124031007
2021-591579,2021-01-06,2021,243540.0,51.0,Appartement,35238,Rennes,-1.692302,48.106933,4775.294117647059
2021-591580,2021-01-04,2021,250000.0,84.0,Appartement,35210,Pacé,-1.769878,48.146167,2976.190476190476
2021-591581,2021-01-04,2021,280300.0,94.0,Maison,35210,Pacé,-1.767038,48.145351,2981.9148936170213
2021-591582,2021-01-14,2021,120000.0,62.0,Appartement,35238,Rennes,-1.655147,48.117946,1935.483870967742
2021-591583,2021-01-13,2021,100000.0,17.0,Appartement,35238,Rennes,-1.68207,48.124463,5882.35294117647
2021-591584,2021-01-04,2021,213000.0,74.0,Appartement,35238,Rennes,-1.661884,48.128825,2878.3783783783783
2021-591587,2021-01-07,2021,215000.0,65.0,Appartement,35238,Rennes,-1.698714,48.099173,3307.6923076923076
2021-591588,2021-01-14,2021,307500.0,80.0,Appartement,35238,Rennes,-1.69476,48.103381,3843.75
2021-591589,2021-01-15,2021,719500.0,138.0,Appartement,35238,Rennes,-1.69782,48.106097,5213.768115942029
2021-591590,2021-01-08,2021,153000.0,56.0,Appartement,35238,Rennes,-1.68232,48.092937,2732.1428571428573
2021-591591,2021-01-07,2021,142000.0,64.0,Appartement,35238,Rennes,-1.648005,48.088049,2218.75
2021-591592,2021-01-08,2021,385000.0,106.0,Appartement,35238,Rennes,-1.697583,48.100797,3632.0754716981132
2021-591593,2021-01-15,2021,760000.0,211.0,Appartement,35238,Rennes,-1.675632,48.112618,3601.895734597156
2021-591594,2021-01-18,2021,266980.0,59.0,Appartement,35238,Rennes,-1.67836,48.106811,4525.0847457627115
2021-591595,2021-01-13,2021,329995.0,81.0,Maison,35120,Gévezé,-1.786642,48.218978,4074.0123456790125
2021-591596,2021-01-15,2021,235000.0,66.0,Maison,35032,Bourgbarré,-1.61544,47.989933,3560.6060606060605
2021-591597,2021-01-08,2021,261000.0,77.0,Appartement,35238,Rennes,-1.676698,48.092368,3389.6103896103896
2021-591598,2021-01-14,2021,300000.0,79.0,Appartement,35238,Rennes,-1.660173,48.11103,3797.46835443038
2021-591599,2021-01-15,2021,590000.0,194.0,Maison,35278,Saint-Grégoire,-1.678113,48.159555,3041.237113402062
2021-591600,2021-01-13,2021,619200.0,105.0,Maison,35238,Rennes,-1.668874,48.096079,5897.142857142857
2021-591601,2021-01-11,2021,155000.0,56.0,Appartement,35238,Rennes,-1.656148,48.10816,2767.8571428571427
2021-591602,2021-01-08,2021,153000.0,44.0,Appartement,35238,Rennes,-1.690769,48.106259,3477.2727272727275
2021-591603,2021-01-19,2021,138000.0,72.0,Appartement,35238,Rennes,-1.672737,48.084929,1916.6666666666667
2021-591604,2021-01-11,2021,410000.0,85.0,Appartement,35238,Rennes,-1.67829,48.115583,4823.529411764706
2021-591606,2021-01-11,2021,178000.0,59.0,Appartement,35281,Saint-Jacques-de-la-Lande,-1.691407,48.094011,3016.9491525423728
2021-591607,2021-01-06,2021,185300.0,87.0,Appartement,35238,Rennes,-1.713169,48.119457,2129.885057471264
2021-591608,2021-01-11,2021,160000.0,58.0,Appartement,35055,Chantepie,-1.623774,48.092036,2758.6206896551726
2021-591609,2021-01-06,2021,412000.0,129.0,Maison,35238,Rennes,-1.656712,48.13646,3193.798449612403
2021-591612,2021-01-13,2021,163500.0,66.0,Appartement,35024,Betton,-1.662934,48.175448,2477.2727272727275
2021-591613,2021-01-08,2021,86200.0,29.0,Appartement,35238,Rennes,-1.66617,48.126669,2972.4137931034484
2021-591614,2021-01-14,2021,500000.0,86.0,Maison,35238,Rennes,-1.672963,48.097835,5813.953488372093
2021-591616,2021-01-08,2021,250000.0,70.0,Appartement,35238,Rennes,-1.666838,48.111814,3571.4285714285716
2021-591618,2021-01-15,2021,210000.0,75.0,Appartement,35238,Rennes,-1.637618,48.091316,2800.0
2021-591620,2021-01-19,2021,330000.0,135.0,Maison,35066,Chartres-de-Bretagne,-1.710174,48.036591,2444.4444444444443
2021-591621,2021-01-18,2021,152000.0,51.0,Appartement,35238,Rennes,-1.684982,48.090365,2980.392156862745
2021-591623,2021-01-21,2021,750000.0,206.0,Maison,35278,Saint-Grégoire,-1.691191,48.146055,3640.776699029126
2021-591625,2021-01-05,2021,163000.0,47.0,Appartement,35024,Betton,-1.634513,48.182604,3468.0851063829787
2021-591628,2021-01-15,2021,300000.0,66.0,Appartement,35238,Rennes,-1.683259,48.108093,4545.454545454545
2021-591629,2021-01-16,2021,290000.0,60.0,Appartement,35238,Rennes,-1.657422,48.109229,4833.333333333333
2021-591630,2021-01-06,2021,270000.0,65.0,Appartement,35051,Cesson-Sévigné,-1.588645,48.115889,4153.846153846154
2021-591632,2021-01-22,2021,186500.0,67.0,Appartement,35238,Rennes,-1.701954,48.102746,2783.582089552239
2021-591635,2021-01-20,2021,109600.0,23.0,Appartement,35238,Rennes,-1.667145,48.112175,4765.217391304348
2021-591636,2021-01-20,2021,142000.0,59.0,Appartement,35363,Pont-Péan,-1.701653,48.016883,2406.7796610169494
2021-591637,2021-01-11,2021,300000.0,83.0,Appartement,35238,Rennes,-1.658693,48.123805,3614.4578313253014
2021-591639,2021-01-06,2021,182400.0,58.0,Appartement,35238,Rennes,-1.657125,48.107378,3144.8275862068967
2021-591640,2021-01-14,2021,170500.0,67.0,Appartement,35353,Vezin-le-Coquet,-1.748968,48.116932,2544.776119402985
2021-591641,2021-01-04,2021,213900.0,91.0,Maison,35352,Vern-sur-Seiche,-1.602606,48.039205,2350.5494505494507
2021-591643,2021-01-04,2021,206885.0,40.0,Appartement,35238,Rennes,-1.662796,48.110856,5172.125
2021-591644,2021-01-04,2021,177000.0,60.0,Appartement,35210,Pacé,-1.764026,48.151935,2950.0
2021-591645,2021-01-16,2021,267240.0,98.0,Maison,35193,Montreuil-le-Gast,-1.720761,48.244879,2726.938775510204
2021-591646,2021-01-05,2021,85000.0,27.0,Appartement,35238,Rennes,-1.701071,48.11188,3148.1481481481483
